transaction_id,timestamp,store_id,item_id,price,item_name,category,quantity,customer_id_hash,discount_flag,margin_pct
T0001,2023-11-12 10:30:00,STORE_MUMBAI,ATTA_5KG,280,Atta 5kg,Grocery,1,CUST001,0,0.15
T0001,2023-11-12 10:30:00,STORE_MUMBAI,TOOR_DAL,180,Toor Dal 1kg,Grocery,1,CUST001,0,0.18
T0001,2023-11-12 10:30:00,STORE_MUMBAI,DIYA_PACK,150,Diya Pack (21 pcs),Pooja,1,CUST001,0,0.35
T0001,2023-11-12 10:30:00,STORE_MUMBAI,RANGOLI_COLOR,120,Rangoli Colors,Pooja,1,CUST001,0,0.40
T0002,2023-11-12 11:15:00,STORE_MUMBAI,AMUL_GHEE,580,Amul Ghee 1L,Dairy,1,CUST002,0,0.12
T0002,2023-11-12 11:15:00,STORE_MUMBAI,SOAN_PAPDI,320,Soan Papdi 500g,Sweets,1,CUST002,0,0.25
T0002,2023-11-12 11:15:00,STORE_MUMBAI,KAJU_KATLI,650,Kaju Katli 500g,Sweets,1,CUST002,1,0.22
T0003,2023-11-12 18:45:00,STORE_MUMBAI,PATAKA_BOX,800,Pataka Variety Box,Crackers,1,CUST003,0,0.30
T0003,2023-11-12 18:45:00,STORE_MUMBAI,DIYA_PACK,150,Diya Pack (21 pcs),Pooja,1,CUST003,0,0.35
T0003,2023-11-12 18:45:00,STORE_MUMBAI,AMUL_BUTTER,56,Amul Butter 100g,Dairy,2,CUST003,0,0.15
T0004,2023-11-13 09:00:00,STORE_DELHI,PANEER,340,Paneer 500g,Dairy,1,CUST004,0,0.18
T0004,2023-11-13 09:00:00,STORE_DELHI,PALAK,40,Palak 500g,Vegetables,1,CUST004,0,0.30
T0004,2023-11-13 09:00:00,STORE_DELHI,JEERA,85,Jeera 200g,Spices,1,CUST004,0,0.25
T0005,2023-11-13 19:30:00,STORE_DELHI,BASMATI_RICE,450,Basmati Rice 5kg,Grocery,1,CUST005,0,0.14
T0005,2023-11-13 19:30:00,STORE_DELHI,KAJU_KATLI,650,Kaju Katli 500g,Sweets,1,CUST005,0,0.22
T0005,2023-11-13 19:30:00,STORE_DELHI,DRY_FRUITS,550,Mixed Dry Fruits 500g,Dry Fruits,1,CUST005,1,0.28
T0006,2023-03-08 10:00:00,STORE_MUMBAI,THANDAI,180,Thandai Mix 200g,Beverages,1,CUST006,0,0.30
T0006,2023-03-08 10:00:00,STORE_MUMBAI,GUJIYA,220,Gujiya 500g,Sweets,1,CUST006,0,0.28
T0006,2023-03-08 10:00:00,STORE_MUMBAI,GULAL,80,Gulal Colors,Holi,1,CUST006,0,0.45
T0007,2023-03-08 15:30:00,STORE_MUMBAI,PICHKARI,150,Water Gun,Holi,1,CUST007,0,0.40
T0007,2023-03-08 15:30:00,STORE_MUMBAI,GULAL,80,Gulal Colors,Holi,2,CUST007,0,0.45
T0008,2023-01-15 08:30:00,STORE_BANGALORE,IDLI_RAVA,120,Idli Rava 1kg,Grocery,1,CUST008,0,0.16
T0008,2023-01-15 08:30:00,STORE_BANGALORE,COCONUT_OIL,280,Coconut Oil 1L,Grocery,1,CUST008,0,0.14
T0008,2023-01-15 08:30:00,STORE_BANGALORE,SAMBAR_POWDER,95,MTR Sambar Powder,Spices,1,CUST008,0,0.22
T0009,2023-01-15 12:00:00,STORE_BANGALORE,CURD,45,Fresh Curd 500g,Dairy,1,CUST009,0,0.20
T0009,2023-01-15 12:00:00,STORE_BANGALORE,FILTER_COFFEE,350,Filter Coffee 500g,Beverages,1,CUST009,0,0.24
T0010,2023-06-20 17:00:00,STORE_DELHI,MANGO_AAMRAS,120,Mango Aamras 1L,Beverages,1,CUST010,0,0.28
T0010,2023-06-20 17:00:00,STORE_DELHI,ALPHONSO_MANGO,450,Alphonso Mango 1kg,Fruits,1,CUST010,0,0.35
T0011,2023-08-15 10:00:00,STORE_MUMBAI,TRICOLOR_FLAG,50,Indian Flag,Independence,1,CUST011,0,0.50
T0011,2023-08-15 10:00:00,STORE_MUMBAI,MITHAI_BOX,400,Mithai Assorted Box,Sweets,1,CUST011,0,0.24
T0012,2023-10-20 18:00:00,STORE_DELHI,POOJA_THALI,350,Navratri Pooja Thali,Pooja,1,CUST012,0,0.32
T0012,2023-10-20 18:00:00,STORE_DELHI,COCONUT,35,Fresh Coconut,Pooja,2,CUST012,0,0.25
T0012,2023-10-20 18:00:00,STORE_DELHI,AGARBATTI,85,Agarbatti Pack,Pooja,1,CUST012,0,0.38
T0013,2023-02-10 09:30:00,STORE_BANGALORE,DOSA_BATTER,80,Ready Dosa Batter 1kg,Prepared,1,CUST013,0,0.30
T0013,2023-02-10 09:30:00,STORE_BANGALORE,COCONUT_CHUTNEY,65,Coconut Chutney,Prepared,1,CUST013,0,0.35
T0013,2023-02-10 09:30:00,STORE_BANGALORE,FILTER_COFFEE,350,Filter Coffee 500g,Beverages,1,CUST013,0,0.24
T0014,2023-04-14 11:00:00,STORE_DELHI,SHRIKHAND,180,Shrikhand 500g,Dairy,1,CUST014,0,0.22
